ic calculation: SQRT
pos	Ic
102.90	8.119e-01
103.10	4.871e-01
103.30	6.221e-01
103.50	6.827e-01
103.70	8.473e-01
104.00	7.184e-01
104.20	6.223e-01
104.40	7.297e-01
104.60	5.512e-01
104.80	5.378e-01
105.00	6.666e-01
105.30	5.509e-01
105.50	9.104e-01
105.70	6.887e-01
105.90	6.337e-01
106.10	6.938e-01
106.40	6.840e-01
106.60	5.763e-01
106.80	6.396e-01
107.00	6.635e-01
107.20	6.090e-01
107.50	6.215e-01
107.70	7.721e-01
107.90	5.492e-01
108.10	5.999e-01
108.40	5.976e-01
108.60	5.945e-01
108.80	5.202e-01
109.00	7.747e-01
109.30	6.769e-01
109.50	9.243e-01
109.70	3.880e-01
110.00	8.322e-01
110.20	6.716e-01
110.40	8.343e-01
110.60	8.538e-01
110.90	6.826e-01
111.10	6.963e-01
111.30	6.181e-01
111.60	4.692e-01
111.80	8.959e-01
112.00	7.677e-01
112.30	8.752e-01
112.50	5.514e-01
112.70	7.268e-01
112.90	5.253e-01
113.20	7.431e-01
113.40	9.920e-01
113.70	7.618e-01
113.90	5.405e-01
114.10	8.383e-01
114.30	4.583e-01
114.60	7.716e-01
114.80	5.525e-01
115.10	5.637e-01
115.30	7.102e-01
115.50	5.512e-01
115.80	6.180e-01
116.00	5.389e-01
116.20	6.110e-01
116.50	6.641e-01
116.70	6.208e-01
116.90	6.846e-01
117.20	6.715e-01
117.40	7.714e-01
117.70	9.001e-01
117.90	7.958e-01
118.20	7.998e-01
118.40	8.233e-01
118.60	3.696e-01
118.90	6.327e-01
119.10	6.392e-01
119.40	6.552e-01
119.60	9.340e-01
119.90	5.539e-01
120.10	7.284e-01
120.30	7.354e-01
120.60	5.580e-01
120.80	7.199e-01
121.10	7.731e-01
121.30	7.083e-01
121.60	7.645e-01
121.80	6.810e-01
122.00	5.020e-01
122.30	5.696e-01
122.50	7.334e-01
122.80	7.456e-01
123.00	5.586e-01
123.30	7.253e-01
123.50	8.294e-01
123.80	8.914e-01
124.00	7.661e-01
124.30	1.031e+00
124.50	5.043e-01
124.80	8.098e-01
125.00	6.686e-01
125.30	5.339e-01
125.60	6.902e-01
125.80	5.823e-01
126.10	7.710e-01
126.30	8.081e-01
126.60	6.314e-01
126.80	8.219e-01
127.10	7.499e-01
127.30	9.639e-01
127.60	7.798e-01
127.80	9.417e-01
128.10	8.550e-01
128.30	8.516e-01
128.60	8.064e-01
128.90	9.279e-01
129.10	6.478e-01
129.40	9.804e-01
129.60	9.164e-01
129.90	6.337e-01
130.10	6.078e-01
130.40	1.043e+00
130.70	1.050e+00
130.90	5.955e-01
131.20	9.367e-01
131.40	9.427e-01
131.70	6.204e-01
132.00	6.995e-01
132.20	8.052e-01
132.50	5.684e-01
132.70	6.664e-01
133.00	4.289e-01
133.30	7.859e-01
133.50	6.932e-01
133.80	8.199e-01
134.10	9.662e-01
134.30	4.840e-01
134.60	7.242e-01
134.90	1.062e+00
135.10	7.113e-01
135.40	6.710e-01
135.70	7.838e-01
135.90	6.512e-01
136.20	1.061e+00
136.50	6.194e-01
136.70	6.634e-01
137.00	7.335e-01
137.30	7.442e-01
137.50	8.524e-01
137.80	9.467e-01
138.10	6.127e-01
138.30	8.344e-01
138.60	6.694e-01
138.90	5.759e-01
139.20	4.994e-01
139.40	8.607e-01
139.70	7.858e-01
140.00	7.973e-01
140.20	1.035e+00
140.50	6.824e-01
140.80	5.405e-01
141.10	8.378e-01
141.30	8.560e-01
141.60	8.625e-01
141.90	8.374e-01
142.10	1.065e+00
142.40	6.615e-01
142.70	5.911e-01
143.00	5.841e-01
143.30	8.346e-01
143.50	5.983e-01
143.80	8.973e-01
144.10	6.099e-01
144.40	7.772e-01
144.60	5.944e-01
144.90	6.177e-01
145.20	4.590e-01
145.50	6.896e-01
145.80	4.780e-01
146.00	6.475e-01
146.30	9.308e-01
146.60	9.229e-01
146.90	6.690e-01
147.20	4.698e-01
147.40	6.552e-01
147.70	7.706e-01
148.00	5.861e-01
148.30	6.334e-01
148.60	7.314e-01
148.90	7.136e-01
149.10	8.122e-01
149.40	8.113e-01
149.70	5.835e-01
150.00	7.388e-01
150.30	6.622e-01
150.60	6.109e-01
150.90	8.523e-01
151.10	8.093e-01
151.40	6.928e-01
151.70	4.625e-01
152.00	7.039e-01
152.30	7.022e-01
152.60	8.427e-01
152.90	8.025e-01
153.20	5.009e-01
153.50	7.189e-01
153.70	7.148e-01
154.00	4.177e-01
154.30	4.498e-01
154.60	5.980e-01
154.90	5.080e-01
155.20	7.837e-01
155.50	9.991e-01
155.80	4.922e-01
156.10	8.062e-01
156.40	7.502e-01
156.70	8.288e-01
157.00	8.279e-01
157.30	5.628e-01
157.50	5.495e-01
157.90	7.216e-01
158.20	8.256e-01
158.40	8.092e-01
158.70	7.501e-01
159.00	7.401e-01
159.30	6.604e-01
159.60	5.821e-01
159.90	6.760e-01
160.20	9.014e-01
160.50	9.856e-01
160.80	5.866e-01
161.10	8.311e-01
161.40	9.885e-01
161.70	8.289e-01
162.00	1.039e+00
162.30	7.733e-01
162.60	1.054e+00
162.90	9.019e-01
163.20	6.703e-01
163.50	5.996e-01
163.80	9.212e-01
164.10	5.590e-01
164.40	7.387e-01
164.70	7.869e-01
165.00	9.700e-01
165.40	7.048e-01
165.70	6.967e-01
166.00	6.285e-01
166.30	8.282e-01
166.60	6.198e-01
166.90	6.092e-01
167.20	9.054e-01
167.50	6.072e-01
167.80	6.797e-01
168.10	6.956e-01
168.40	6.791e-01
168.70	5.908e-01
169.00	5.302e-01
169.40	8.039e-01
169.70	1.001e+00
170.00	1.038e+00
170.30	1.002e+00
170.60	7.826e-01
170.90	6.540e-01
171.20	1.028e+00
171.50	6.683e-01
171.90	6.127e-01
172.20	7.974e-01
172.50	9.111e-01
172.80	9.446e-01
173.10	5.243e-01
173.40	7.138e-01
173.70	6.677e-01
174.00	5.826e-01
174.40	8.122e-01
174.70	5.265e-01
175.00	6.762e-01
175.30	8.540e-01
175.60	6.189e-01
175.90	5.562e-01
176.30	8.387e-01
176.60	4.986e-01
176.90	5.131e-01
177.20	7.873e-01
177.50	7.140e-01
177.90	6.566e-01
178.20	7.300e-01
178.50	5.114e-01
178.80	4.827e-01
179.10	7.410e-01
179.50	5.660e-01
179.80	6.378e-01
180.10	6.795e-01
180.40	4.717e-01
180.80	4.533e-01
181.10	4.650e-01
181.40	5.139e-01
181.70	5.226e-01
182.10	6.064e-01
182.40	7.727e-01
182.70	6.856e-01
183.10	7.081e-01
183.40	5.461e-01
183.70	8.237e-01
184.00	5.580e-01
184.30	9.889e-01
184.70	6.869e-01
185.00	7.605e-01
185.30	7.668e-01
185.70	5.721e-01
186.00	8.755e-01
186.30	6.957e-01
186.60	6.797e-01
187.00	6.269e-01
187.30	6.167e-01
187.60	7.555e-01
188.00	5.579e-01
188.30	8.324e-01
188.60	7.895e-01
189.00	5.387e-01
189.30	7.296e-01
189.60	6.436e-01
189.90	5.319e-01
190.30	6.378e-01
190.60	6.516e-01
190.90	6.755e-01
191.30	4.861e-01
191.60	7.495e-01
191.90	7.774e-01
192.30	6.998e-01
192.60	8.230e-01
193.00	5.476e-01
193.30	6.953e-01
193.60	7.302e-01
194.00	5.058e-01
194.30	5.616e-01
194.60	7.678e-01
195.00	8.164e-01
195.30	7.106e-01
195.60	7.044e-01
196.00	6.575e-01
196.30	8.199e-01
196.70	5.257e-01
197.00	8.678e-01
197.30	6.372e-01
197.70	7.955e-01
198.00	7.011e-01
198.40	9.309e-01
198.70	8.290e-01
199.10	6.748e-01
199.40	6.866e-01
199.70	8.390e-01
200.10	6.397e-01
200.40	8.709e-01
200.80	7.150e-01
201.10	8.969e-01
201.50	6.416e-01
201.80	5.629e-01
202.20	6.835e-01
202.50	9.367e-01
202.90	5.710e-01
203.20	8.763e-01
203.60	5.694e-01
203.90	7.204e-01
204.30	6.007e-01
204.60	5.960e-01
205.00	9.154e-01
205.30	7.358e-01
205.60	9.102e-01
206.00	7.613e-01
206.30	7.729e-01
206.70	6.985e-01
207.00	8.269e-01
207.40	7.843e-01
207.70	9.449e-01
208.10	6.339e-01
208.40	7.152e-01
208.80	1.008e+00
209.10	6.870e-01
209.50	8.127e-01
209.80	9.440e-01
210.20	6.133e-01
210.60	7.649e-01
210.90	1.138e+00
211.30	8.449e-01
211.60	6.390e-01
212.00	6.481e-01
212.40	7.009e-01
212.70	6.142e-01
213.10	6.105e-01
213.40	6.710e-01
213.80	7.374e-01
214.20	7.608e-01
214.50	5.531e-01
214.90	6.174e-01
215.20	7.020e-01
215.60	7.165e-01
